State,City,Station_Name,Last_Update,Latitude,Longitude,PM2.5_Min,PM2.5_Max,PM2.5_Avg,PM10_Min,PM10_Max,PM10_Avg,SO2_Min,SO2_Max,SO2_Avg,CO_Min,CO_Max,CO_Avg,OZONE_Min,OZONE_Max,OZONE_Avg,AQI_Value,Predominant_Parameter,NO2_Min,NO2_Max,NO2_Avg,Year,Month,Month_Name
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2023-11-20 12:00:00,16.5150833,80.5181667,57.5,229.0,122.5,75.0,166.0,117.0,7.0,18.0,12.0,22.0,78.0,41.0,8.0,61.0,22.0,137.0,Unknown,14.0,40.5,26.0,2023,11,November
Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",2023-11-20 12:00:00,14.675886,77.593027,15.0,34.0,24.0,16.0,39.0,24.0,4.0,17.0,7.0,20.0,40.0,29.0,16.0,52.0,25.0,29.0,CO,17.0,39.0,23.0,2023,11,November
Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",2023-11-20 12:00:00,13.20488,79.097889,11.0,30.0,19.0,13.0,35.0,22.0,4.0,18.0,9.0,2.0,5.0,4.0,23.0,92.0,35.0,35.0,OZONE,8.0,21.0,14.0,2023,11,November
Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",2023-11-20 12:00:00,14.465052,78.824187,19.0,57.0,37.0,18.0,48.0,32.0,1.0,2.0,2.0,12.0,30.0,21.0,6.0,48.0,21.0,37.0,PM2.5,21.0,54.0,30.0,2023,11,November
Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2023-11-20 12:00:00,16.9872867,81.7363176,31.0,72.0,44.0,43.0,101.0,58.0,9.0,15.0,12.0,6.0,48.0,24.0,20.0,43.0,28.0,58.0,PM10,12.0,26.0,18.0,2023,11,November
Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",2023-11-20 12:00:00,13.67,79.35,22.0,62.0,49.0,23.0,54.0,41.0,3.0,16.0,11.0,14.0,24.0,17.0,25.0,50.0,29.0,49.0,PM2.5,35.0,53.0,46.0,2023,11,November
Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",2023-11-20 12:00:00,13.615387,79.40923,22.0,41.0,31.0,22.0,41.0,31.0,4.0,5.0,5.0,44.0,52.0,48.0,4.0,26.0,13.0,48.0,CO,15.0,26.0,19.0,2023,11,November
Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",2023-11-20 12:00:00,16.536107,80.594233,38.0,72.0,50.0,33.0,73.0,48.0,4.0,17.0,8.0,17.0,19.0,18.0,33.0,88.0,49.0,50.0,PM2.5,6.0,19.0,11.0,2023,11,November
Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",2023-11-20 12:00:00,16.486692,80.699436,39.0,46.0,42.0,36.0,45.0,39.0,1.0,10.0,4.0,36.0,66.0,47.0,39.0,41.0,40.0,47.0,CO,14.0,17.0,16.0,2023,11,November
Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",2023-11-20 12:00:00,16.509717,80.612222,30.0,74.0,49.0,27.0,68.0,45.0,7.0,32.0,13.0,32.0,38.0,33.0,22.0,102.0,54.0,54.0,OZONE,36.0,90.0,53.0,2023,11,November
Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",2023-11-20 12:00:00,17.72,83.3,38.0,76.0,57.0,60.0,95.0,74.0,4.0,21.0,12.0,14.0,57.0,27.0,3.0,62.0,14.0,74.0,PM10,12.0,44.0,26.0,2023,11,November
Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",2023-11-20 12:00:00,26.071318,91.87488,18.0,493.0,271.0,23.0,500.0,273.0,6.0,8.0,7.0,34.0,112.0,68.0,6.0,8.0,7.0,273.0,PM10,23.0,61.0,35.0,2023,11,November
Assam,Guwahati,"IITG, Guwahati - PCBA",2023-11-20 12:00:00,26.2028636,91.70046436,12.0,169.0,77.0,15.0,104.0,66.0,10.0,11.0,10.0,6.0,22.0,16.0,2.0,18.0,5.0,77.0,PM2.5,1.0,6.0,2.0,2023,11,November
Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",2023-11-20 12:00:00,26.10887,91.589544,27.0,300.0,99.0,39.0,147.0,82.0,2.0,3.0,2.0,8.0,106.0,32.0,2.0,130.0,48.0,99.0,PM2.5,2.0,16.0,6.0,2023,11,November
Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",2023-11-20 12:00:00,26.1875,91.744194,19.0,196.0,89.0,35.0,140.0,86.0,49.0,73.0,56.0,12.0,78.0,36.0,16.0,16.0,16.0,89.0,PM2.5,14.0,40.5,26.0,2023,11,November
Assam,Guwahati,"Railway Colony, Guwahati - PCBA",2023-11-20 12:00:00,26.181742,91.78063,17.0,300.0,114.0,25.0,169.0,90.0,27.0,47.0,34.0,10.0,90.0,37.0,12.0,36.0,23.0,114.0,PM2.5,3.0,5.0,3.0,2023,11,November
Assam,Nagaon,"Christianpatty, Nagaon - PCBA",2023-11-20 12:00:00,26.349082,92.68449,3.0,92.0,40.0,23.0,193.0,112.0,7.0,18.0,12.0,1.0,28.0,25.0,3.0,65.0,6.0,112.0,PM10,8.0,38.0,18.0,2023,11,November
Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",2023-11-20 12:00:00,26.446912,91.439057,32.0,385.0,150.0,74.0,474.0,162.0,9.0,22.0,13.0,26.0,110.0,40.0,18.0,20.0,18.0,162.0,PM10,36.0,54.0,44.0,2023,11,November
Assam,Silchar,"Tarapur, Silchar - PCBA",2023-11-20 12:00:00,24.82827,92.79525,20.0,26.0,23.0,29.0,63.0,40.0,3.0,7.0,5.0,28.0,44.0,33.0,8.0,61.0,22.0,40.0,PM10,10.0,19.0,15.0,2023,11,November
Assam,Sivasagar,"Girls College, Sivasagar - PCBA",2023-11-20 12:00:00,26.987634,94.636574,7.0,28.0,14.0,17.0,99.0,47.0,4.0,7.0,6.0,8.0,34.0,21.0,2.0,5.0,3.0,47.0,PM10,11.0,18.0,15.0,2023,11,November
Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",2023-11-20 12:00:00,26.146529,87.454184,10.0,332.0,177.0,45.0,261.0,141.0,14.0,20.0,17.0,24.0,82.0,58.0,1.0,39.0,8.0,177.0,PM2.5,6.0,27.0,8.0,2023,11,November
Bihar,Arrah,"New DM Office, Arrah - BSPCB",2023-11-20 12:00:00,25.5626095,84.663264,42.0,500.0,259.0,54.0,457.0,171.0,16.0,22.0,18.0,18.0,29.0,25.0,1.0,61.0,13.0,259.0,PM2.5,1.0,8.0,3.0,2023,11,November
Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",2023-11-20 12:00:00,24.75746,84.366208,57.5,229.0,122.5,75.0,166.0,117.0,8.0,18.0,12.0,16.0,101.0,64.0,1.0,76.0,18.0,137.0,Unknown,6.0,16.0,9.0,2023,11,November
Bihar,Begusarai,"DRCC Anandpur, Begusarai - BSPCB",2023-11-20 12:00:00,25.444266,86.140169,83.0,478.0,310.0,73.0,423.0,264.0,5.0,18.0,13.0,24.0,48.0,31.0,5.0,82.0,16.0,310.0,PM2.5,6.0,55.0,37.0,2023,11,November
Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",2023-11-20 12:00:00,26.80365,84.51954,35.0,342.0,191.0,60.0,386.0,194.0,9.0,19.0,16.0,22.0,110.0,84.0,8.0,61.0,22.0,194.0,PM10,14.0,40.5,26.0,2023,11,November
Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",2023-11-20 12:00:00,25.251013,86.989001,28.0,308.0,137.0,41.0,151.0,96.0,20.0,29.0,24.0,14.0,42.0,38.0,24.0,40.0,29.0,137.0,PM2.5,40.0,76.0,50.0,2023,11,November
Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",2023-11-20 12:00:00,25.265194,87.012947,50.0,332.0,197.0,63.0,264.0,155.0,15.0,27.0,21.0,12.0,16.0,15.0,10.0,18.0,13.0,197.0,PM2.5,11.0,30.0,18.0,2023,11,November
Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",2023-11-20 12:00:00,25.204762,85.51496,20.0,67.0,41.0,24.0,127.0,73.0,2.0,12.0,6.0,10.0,50.0,30.0,5.0,72.0,19.0,73.0,PM10,9.0,10.0,9.0,2023,11,November
Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",2023-11-20 12:00:00,25.7808257,84.7446768,55.0,408.0,273.0,54.0,399.0,193.0,39.0,62.0,51.0,52.0,95.0,57.0,1.0,6.0,2.0,273.0,PM2.5,14.0,23.0,20.0,2023,11,November
Bihar,Gaya,"Collectorate, Gaya - BSPCB",2023-11-20 12:00:00,24.7955,84.9994,30.0,306.0,177.0,75.0,166.0,117.0,4.0,29.0,16.0,30.0,66.0,34.0,47.0,88.0,57.0,177.0,PM2.5,11.0,12.0,11.0,2023,11,November
Bihar,Gaya,"Kareemganj, Gaya - BSPCB",2023-11-20 12:00:00,24.792403,84.992416,70.0,382.0,240.0,70.0,332.0,175.0,2.0,15.0,9.0,6.0,40.0,31.0,10.0,75.0,32.0,240.0,PM2.5,30.0,31.0,31.0,2023,11,November
Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",2023-11-20 12:00:00,24.762518,84.982348,19.0,94.0,55.0,39.0,64.0,52.0,7.0,9.0,8.0,12.0,64.0,50.0,4.0,80.0,14.0,55.0,PM2.5,12.0,31.0,17.0,2023,11,November
Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",2023-11-20 12:00:00,25.697189,85.2459,19.0,244.0,94.0,30.0,425.0,158.0,7.0,9.0,8.0,20.0,82.0,52.0,25.0,38.0,33.0,158.0,PM10,7.0,20.0,12.0,2023,11,November
Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",2023-11-20 12:00:00,25.560083,87.553265,13.0,445.0,222.0,42.0,407.0,163.0,18.0,23.0,21.0,29.0,34.0,33.0,20.0,25.0,23.0,222.0,PM2.5,28.0,41.0,34.0,2023,11,November
Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",2023-11-20 12:00:00,26.0881305,87.93840336,12.0,413.0,138.0,27.0,482.0,149.0,13.0,21.0,17.0,6.0,40.0,12.0,7.0,15.0,9.0,149.0,PM10,45.0,107.0,68.0,2023,11,November
Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",2023-11-20 12:00:00,27.308328,84.531742,40.0,217.0,65.0,45.0,144.0,75.0,1.0,3.0,1.0,32.0,70.0,48.0,10.0,27.0,20.0,75.0,PM10,23.0,37.0,29.0,2023,11,November
Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",2023-11-20 12:00:00,26.63086,84.90051,62.0,372.0,201.0,63.0,319.0,145.0,7.0,18.0,12.0,35.0,80.0,68.0,20.0,89.0,33.0,201.0,PM2.5,80.0,127.0,102.0,2023,11,November
Bihar,Munger,"Town Hall, Munger - BSPCB",2023-11-20 12:00:00,25.376776,86.471523,23.0,87.0,49.0,36.0,121.0,72.0,7.0,18.0,12.0,26.0,60.0,46.0,1.0,11.0,3.0,72.0,PM10,18.0,20.0,19.0,2023,11,November
Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",2023-11-20 12:00:00,26.11442,85.39813,95.0,375.0,240.0,108.0,408.0,217.0,7.0,40.0,10.0,48.0,112.0,70.0,7.0,89.0,39.0,240.0,PM2.5,3.0,12.0,6.0,2023,11,November
Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",2023-11-20 12:00:00,26.1403345,85.3650192,57.0,468.0,272.0,101.0,400.0,206.0,18.0,19.0,18.0,28.0,50.0,44.0,4.0,79.0,19.0,272.0,PM2.5,5.0,44.0,9.0,2023,11,November
Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",2023-11-20 12:00:00,26.1209,85.3647,33.0,305.0,113.0,75.0,166.0,117.0,3.0,7.0,6.0,20.0,62.0,42.0,31.0,43.0,36.0,113.0,PM2.5,46.0,60.0,52.0,2023,11,November
Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",2023-11-20 12:00:00,25.586562,85.043586,59.0,366.0,222.0,70.0,291.0,175.0,5.0,7.0,6.0,22.0,117.0,73.0,2.0,85.0,19.0,222.0,PM2.5,5.0,68.0,31.0,2023,11,November
Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",2023-11-20 12:00:00,25.592539,85.227158,57.5,229.0,122.5,75.0,166.0,117.0,7.0,18.0,12.0,22.0,78.0,41.0,8.0,61.0,22.0,137.0,Unknown,14.0,40.5,26.0,2023,11,November
Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",2023-11-20 12:00:00,25.5941,85.1376,28.0,315.0,140.0,75.0,166.0,117.0,1.0,4.0,3.0,2.0,9.0,7.0,12.0,17.0,15.0,140.0,PM2.5,18.0,21.0,19.0,2023,11,November
Bihar,Patna,"Muradpur, Patna - BSPCB",2023-11-20 12:00:00,25.619651,85.147382,143.0,375.0,271.0,109.0,462.0,306.0,6.0,30.0,13.0,5.0,128.0,54.0,2.0,52.0,15.0,306.0,PM10,7.0,93.0,34.0,2023,11,November
Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",2023-11-20 12:00:00,25.599486,85.113666,58.0,96.0,76.0,87.0,296.0,158.0,23.0,28.0,26.0,42.0,93.0,74.0,1.0,82.0,21.0,158.0,PM10,22.0,76.0,45.0,2023,11,November
Bihar,Patna,"Samanpura, Patna - BSPCB",2023-11-20 12:00:00,25.596727,85.085624,45.0,400.0,263.0,85.0,312.0,186.0,7.0,14.0,10.0,14.0,102.0,70.0,17.0,63.0,34.0,263.0,PM2.5,9.0,35.0,18.0,2023,11,November
Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",2023-11-20 12:00:00,25.366336,87.117468,57.5,229.0,122.5,75.0,166.0,117.0,7.0,18.0,12.0,22.0,78.0,41.0,8.0,61.0,22.0,137.0,Unknown,14.0,40.5,26.0,2023,11,November
Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",2023-11-20 12:00:00,25.0328,85.41948,15.0,325.0,179.0,46.0,209.0,120.0,4.0,4.0,4.0,10.0,11.0,10.0,21.0,24.0,23.0,179.0,PM2.5,8.0,8.0,8.0,2023,11,November
