,count,mean,min,25%,50%,75%,max,std
Last_Update,492,2023-11-20 12:00:00,2023-11-20 12:00:00,2023-11-20 12:00:00,2023-11-20 12:00:00,2023-11-20 12:00:00,2023-11-20 12:00:00,
Latitude,492.0,22.746052644878052,8.5149093,19.059767299999997,23.4159455,27.21397425,34.066206,5.4704204008553425
Longitude,492.0,78.45459931545844,70.909168,75.5079585,77.2993205,80.2529215,94.636574,4.771043525855
PM2.5_Min,492.0,80.01016260162602,1.0,32.0,57.5,97.25,357.0,69.11674278178722
PM2.5_Max,492.0,230.8048780487805,20.0,98.0,229.0,329.75,500.0,133.31825900414196
PM2.5_Avg,492.0,149.22764227642276,10.0,66.0,122.5,222.0,416.0,101.32038177918554
PM10_Min,492.0,78.5040650406504,4.0,46.0,75.0,108.0,226.0,39.71874110350281
PM10_Max,492.0,207.8170731707317,22.0,120.75,166.0,282.0,500.0,127.06746878085468
PM10_Avg,492.0,130.8008130081301,16.0,83.75,117.0,158.25,419.0,72.58632727785577
SO2_Min,492.0,10.058943089430894,1.0,4.0,7.0,11.25,112.0,11.963053327189439
SO2_Max,492.0,26.04268292682927,1.0,12.0,18.0,33.0,133.0,23.15836314204023
SO2_Avg,492.0,15.554878048780488,1.0,8.0,12.0,18.0,126.0,14.127115546758029
CO_Min,492.0,25.682926829268293,1.0,14.0,22.0,34.0,130.0,18.13226673406293
CO_Max,492.0,76.72357723577235,5.0,48.0,78.0,104.25,185.0,35.516681101483705
CO_Avg,492.0,46.6890243902439,4.0,29.0,41.0,57.0,170.0,26.518771767801073
OZONE_Min,492.0,12.90650406504065,1.0,4.0,8.0,16.0,126.0,14.971643202306577
OZONE_Max,492.0,71.32926829268293,1.0,33.75,61.0,90.25,301.0,54.71958991477472
OZONE_Avg,492.0,28.538617886178862,1.0,13.0,22.0,34.25,220.0,28.441037240365667
AQI_Value,492.0,159.65853658536585,15.0,86.75,137.0,226.25,419.0,95.72849244119445
NO2_Min,492.0,18.359756097560975,1.0,8.0,14.0,23.0,138.0,16.533328874967815
NO2_Max,492.0,57.31910569105691,2.0,22.75,40.5,81.0,419.0,52.26250521099946
NO2_Avg,492.0,33.142276422764226,2.0,15.0,26.0,42.0,245.0,29.208710326923576
Year,492.0,2023.0,2023.0,2023.0,2023.0,2023.0,2023.0,0.0
Month,492.0,11.0,11.0,11.0,11.0,11.0,11.0,0.0
